Adenocarcinoma of lung left,persistent cough/coughing up blood/chest pain/shortness of breath/weight loss/fatigue/recurrent lung infections/hoarseness/wheezing
Advanced gastric cancer,"Unintentional weight loss/severe abdominal pain/persistent nausea or vomiting/difficulty swallowing/black, tarry stools/feeling full after small meals/blood in vomit or stool/fatigue or weakness/loss of appetite"
Invasive thymoma,Chest pain/persistent cough/muscle weakness/shortness of breath/difficulty swallowing/facial swelling/recurrent respiratory infections
Advanced gastric cancer,Unintended weight loss/persistent vomiting/severe abdominal pain/difficulty swallowing/feeling full quickly after eating/black stools/fatigue/loss of appetite/nausea/jaundice
Living liver donor,Abdominal pain / fatigue / jaundice / incision site discomfort / nausea / bile leakage / fever / itching / swelling at surgical site / temporary liver enzyme elevation
"Colon cancer, sigmoid",Rectal bleeding / change in bowel habits (diarrhea or constipation) / abdominal pain (lower left) / narrow or pencil-thin stools / unintended weight loss / fatigue / iron-deficiency anemia / incomplete evacuation feeling / abdominal bloating or cramping / nausea or vomiting / tenesmus.
"Abnormal chest CT, lung",Persistent cough/shortness of breath/chest pain/fever/fatigue/wheezing/hemoptysis/abnormal lung nodules/consolidation/pleural effusion/atelectasis/ground-glass opacities
Gallbladder stone without obstruction,right upper quadrant abdominal pain / nausea or vomiting / bloating or indigestion / pain radiating to the back or shoulder / episodic discomfort after fatty meals / excessive belching
Parastomal hernia,Visible bulge or swelling near the stoma site / pain or discomfort around the stoma / skin irritation or redness adjacent to the stoma / difficulty securing the ostomy appliance due to protrusion / nausea or vomiting (if obstruction occurs) / changes in stoma output consistency or volume / feeling of pressure or heaviness during activity
Infiltrating ductal carcinoma of breast left,Hard lump in the left breast / Nipple retraction or inversion / Skin dimpling (peau d'orange) // Breast pain or tenderness / Unilateral nipple discharge (bloody or clear) / Swelling or thickening in part of the left breast / Redness or scaling on the nipple or breast skin / Sudden asymmetry in breast size or shape
Breast cancer right,lump in breast or underarm / change in breast shape or size / skin dimpling or thickening / nipple discharge or inversion / redness or flaky skin / persistent pain / swollen lymph nodes
Infiltrating ductal carcinoma of breast right,Hard lump in the right breast / skin dimpling or puckering / nipple retraction or inversion / bloody or clear nipple discharge / swelling or thickening in the right breast or armpit / persistent pain or tenderness in the right breast
Gallbladder stone without obstruction,upper right abdominal pain / nausea / vomiting / bloating after meals / indigestion / referred back or shoulder pain / clay-colored stools / heartburn-like discomfort
Lung cancer left,Persistent cough/Coughing up blood/Chest pain on the left side/Shortness of breath/Unintentional weight loss/Recurrent lung infections/Hoarseness/Fatigue
Inguinal hernia not specified as recurrent,Visible bulge in the groin or scrotum/pain or discomfort in the groin during activity/burning or aching sensation at the bulge site/bulge that recedes when lying down/heavy or dragging sensation in the groin/swelling or pain around the testicles
Infiltrating ductal carcinoma of breast left,Hard lump in the left breast/nipple discharge (bloody or clear)/skin dimpling or puckering/swelling in part of the breast/redness or thickening of breast skin/lump under the arm/pain or tenderness in the breast
Advanced gastric cancer,"unexplained weight loss/vomiting blood (hematemesis)/difficulty swallowing (dysphagia)/abdominal pain/feeling full quickly after eating (early satiety)/black, tarry stools (melena)/fatigue/visible abdominal swelling (ascites)/persistent nausea"
Disorder of kidney and ureter,Flank or lower back pain/blood in urine (hematuria)/decreased urine output/fever or chills/nausea or vomiting/urinary urgency or frequency/swelling in legs or ankles/discolored or cloudy urine/painful urination (dysuria)
Lung cancer right,persistent cough/coughing up blood/chest pain/shortness of breath/unexplained weight loss/fatigue/recurring respiratory infections/hoarseness/wheezing
"Colon cancer, rectosigmoid",rectal bleeding/blood in stool/changes in bowel habits/persistent abdominal pain or cramping/unintended weight loss/narrow stools/feeling of incomplete evacuation/fatigue/iron deficiency anemia/bloating/mucus in stool
Lung cancer right,Persistent cough/Coughing up blood/Shortness of breath/Chest pain/Unexplained weight loss/Fatigue/Wheezing/Hoarseness/Recurring infections/Loss of appetite
"Gastric submucosal tumor, benign",Epigastric pain / nausea or vomiting / early satiety / gastrointestinal bleeding (hematemesis or melena) / palpable abdominal mass / dysphagia
Enterocutaneous fistula,Drainage of enteric contents through the skin/abdominal pain/visible skin defect/fever/skin irritation or breakdown around the fistula site/dehydration/malnutrition/electrolyte imbalance
Gallbladder disease,Right upper abdominal pain / nausea / vomiting / jaundice / bloating / indigestion / pain radiating to back or shoulder / clay-colored stools / fever / chills / dark urine
Lung cancer right,Persistent cough / coughing up blood / shortness of breath / recurrent respiratory infections / unexplained weight loss / hoarseness
Gastrointestinal stromal tumor,"Abdominal pain / gastrointestinal bleeding (e.g., dark stools or vomiting blood) / early satiety (feeling full quickly) / unintended weight loss / fatigue / palpable abdominal mass / anemia / nausea or vomiting"
Rectal cancer,rectal bleeding / change
End stage renal disease,uremia/fatigue/persistent itching/swelling in extremities/shortness of breath/nausea/muscle cramps/confusion or difficulty concentrating
Prostate cancer,"Blood in urine or semen / Difficulty urinating or weak urine flow / Erectile dysfunction / Frequent urination, especially at night / Bone pain (e.g., back, hips) / Unintended weight loss / Swelling in legs or pelvic area"
Kidney donor,Pain at incision site / Fatigue / Nausea / High blood pressure / Urinary changes / Increased infection risk / Swelling
Liver cirrhosis Unspecified,Yellowing of the skin or eyes (jaundice)/Abdominal swelling (ascites)/Spider-like blood vessels on the skin (spider angiomas)/Fatigue or weakness/Easy bruising or bleeding/Confusion or difficulty thinking (hepatic encephalopathy)/Loss of appetite/Weight loss/Itchy skin (pruritus)/Swelling in the legs (edema)
"Mucinous cystic neoplasm of pancreas, borderline",Upper abdominal pain/discomfort/palpable abdominal mass/nausea/vomiting/back pain/unintended weight loss/jaundice/bloating/feeling full quickly/changes in bowel habits/fever/elevated pancreatic enzymes.
"Colon cancer, sigmoid",blood in stool / change in bowel habits / abdominal cramping / narrow stools / unexplained weight loss / fatigue / feeling of incomplete bowel movement
End stage renal disease,decreased urine output/persistent nausea and vomiting/severe fatigue/swelling in extremities/shortness of breath/confusion or difficulty concentrating/skin itching/muscle cramps/loss of appetite/metallic taste in mouth
Acute cholecystitis,Right upper quadrant abdominal pain/Murphy's sign/fever/nausea or vomiting/jaundice/abdominal tenderness/bloating or indigestion/referred right shoulder or back pain/elevated white blood cell count/rebound tenderness
end stage renal disease,persistent edema/uremia/anuria/fatigue/severe itching/shortness of breath/nausea or vomiting/confusion/muscle cramps/skin discoloration/high blood pressure/difficulty sleeping
Cholecystitis,Right upper quadrant abdominal pain / Murphy's sign / nausea or vomiting / fever / jaundice / bloating or indigestion / pain radiating to back or shoulder
"Colon cancer, rectosigmoid",Rectal bleeding/change in bowel habits (constipation or diarrhea)/narrow or pencil-thin stools/abdominal pain or cramping/unexplained weight loss/fatigue or weakness/feeling of incomplete bowel evacuation.
Rectal cancer,Rectal bleeding or blood in the stool / persistent changes in bowel habits (diarrhea/constipation) / unexplained weight loss / abdominal pain or discomfort / narrow or ribbon-like stools / fatigue due to anemia / feeling of incomplete bowel emptying / unexplained iron-deficiency anemia / mucus in the stool / sudden urge to defecate without relief.
Advanced gastric cancer,unexplained weight loss / persistent abdominal pain / vomiting or difficulty swallowing / early satiety / nausea / loss of appetite / fatigue / black stools / anemia / jaundice
Early gastric cancer,"mild upper abdominal discomfort/unexplained weight loss/black, tarry stools/nausea after eating/loss of appetite/early satiety"
Pelvic organ prolapse,Sensation of a bulge or pressure in the vagina/pelvis / Visible or palpable protrusion from the vagina / Feeling of heaviness or dragging in the pelvic area / Urinary incontinence or hesitancy during coughing/sneezing / Difficulty with bowel movements or needing to press on the vagina to defecate / Pain/discomfort during intercourse / Worsening symptoms with prolonged standing/straining
Lung cancer right,persistent cough / coughing up blood / shortness of breath / unexplained weight loss / fatigue / chest pain / hoarseness / recurrent respiratory infections
Malignant neoplasm of chest wall,Persistent chest pain / palpable mass or lump / unexplained weight loss / difficulty breathing / skin changes over the affected area (redness/ulceration) / localized swelling / fatigue / night sweats
Hepatocellular carcinoma,Right upper quadrant abdominal pain/jaundice/unintentional weight loss/ascites/hepatomegaly/fatigue/loss of appetite/nausea or vomiting/easy bruising or bleeding/abdominal swelling/fever/enlarged spleen
Rectal cancer,"Rectal bleeding or blood in the stool / persistent change in bowel habits (diarrhea, constipation, or narrowing of stool) / unexplained weight loss / abdominal pain or cramping / feeling of incomplete bowel evacuation / fatigue or weakness / mucus in the stool / persistent urge to defecate."
Thyroid nodule,Visible neck lump/neck swelling/difficulty swallowing/hoarseness/pain in the neck or throat/trouble breathing/rapid heartbeat/unexplained weight gain or loss
Breast cancer unspecified side,lump or mass in the breast/skin dimpling or redness/nipple discharge or retraction/swelling in part of the breast/persistent breast or nipple pain/lymph node swelling under the arm or near collarbone/change in breast size or shape/peeling or scaling of the breast skin
Squamous cell carcinoma of lung left,persistent cough / hemoptysis (coughing up blood) / shortness of breath / recurring chest infections / chest pain localized to the left side / hoarseness / unexplained weight loss / fatigue / wheezing
Neuroendocrine carcinoma,flushing/diarrhea/unexplained weight loss/persistent cough/wheezing/fatigue/abdominal pain/hypoglycemia episodes/skin lesions/heart palpitations
Prostate cancer,Difficulty urinating / frequent urination / blood in semen or urine / pelvic discomfort / erectile dysfunction / bone pain
"Cholangiocarcinoma, intrahepatic",Jaundice/abdominal pain/unintentional weight loss/itching/pale stools/dark urine/loss of appetite/nausea or vomiting/fever
Gallbladder polyp,right upper abdominal pain / nausea / vomiting after eating fatty foods / bloating or indigestion / jaundice / unexplained fever
Advanced gastric cancer,"Unintended weight loss / persistent abdominal pain / vomiting blood / black, tarry stools / difficulty swallowing / nausea / loss of appetite / early satiety / fatigue / abdominal swelling"
Gallbladder stone without obstruction,right upper abdominal pain after eating fatty foods / nausea / vomiting / bloating or indigestion / belching or gas / back pain between shoulder blades
"Kidney donor, live related",pain at incision site/fatigue/decreased urine output/fever/nausea/constipation/swelling in legs/muscle soreness
Gallbladder polyp,right upper quadrant abdominal pain / nausea / vomiting / pain exacerbated by fatty meals / bloating or indigestion / jaundice / dark urine
End stage renal disease,persistent fatigue/decreased urine output/confusion or seizures/severe swelling in extremities/shortness of breath due to fluid overload/persistent itching/nausea or vomiting/muscle cramps/loss of appetite
Early gastric cancer,upper abdominal discomfort/ind
Gallbladder stone without obstruction,Right upper quadrant abdominal pain / nausea or vomiting / bloating or indigestion / episodic pain after meals / referred pain to back or shoulder / belching or gas
Penile cancer,Penile lump or sore / Changes in penile skin color or thickening / Unusual discharge or bleeding from the penis / Pain or tenderness in the penis area / Swelling or redness / Difficulty retracting foreskin (phimosis) / Enlarged lymph nodes in the groin / Persistent rash or skin changes / Foul-smelling lesion
Incisional hernia,Visible bulge near surgical scar/pain or discomfort at incision site/tenderness or pressure around the bulge/nausea or vomiting/redness or discoloration at the hernia site/bulge that enlarges with activity or straining/difficulty with bowel movements or constipation
"Colon cancer, rectosigmoid",Rectal bleeding/change in bowel habits/narrow or pencil-thin stools/abdominal discomfort or cramping/unexplained weight loss/fatigue/feeling of incomplete evacuation
Advanced gastric cancer,"unexplained weight loss/persistent vomiting/difficulty swallowing/abdominal pain worsening after eating/black, tarry stools (melena)/loss of appetite/jaundice (yellowing of skin or eyes)/fatigue/feeling full quickly when eating (early satiety)"
Acute appendicitis,Right lower quadrant abdominal pain/rebound tenderness/migratory pain starting near the belly button/nausea/vomiting/low-grade fever/loss of appetite/pain worsening with movement or coughing
Breast cancer unspecified side,Lump in breast or underarm / change in breast shape or size / skin dimpling or thickening / nipple discharge (especially bloody) / persistent pain in a specific area / nipple retraction or inversion / peeling or flaky skin on nipple or breast / redness or pitting resembling orange peel.
Myoma uteri,Heavy menstrual bleeding/pelvic pain or pressure/prolonged menstrual periods/frequent urination/constipation/lower back pain/difficulty emptying the bladder/leg pain/swollen abdomen
Neurogenic tumor,Pain localized to tumor site / numbness or tingling in affected area / palpable lump or mass under the skin / muscle weakness or atrophy / bowel or bladder dysfunction / difficulty breathing or chest pain / balance difficulties or dizziness / visible swelling or skin changes / hearing loss or tinnitus / blood pressure fluctuations / pain exacerbated by touch or pressure
Pancreatic cancer,Jaundice / unexplained weight loss / upper abdominal pain / nausea / loss of appetite / light-colored stools / dark urine / back pain / fatigue / new-onset diabetes / itching (pruritus)
Undifferentiated pleomorphic sarcoma of pelvis,Pelvic mass or lump / localized pain or tenderness / numbness or weakness in lower extremities / urinary retention or frequency / constipation or bowel obstruction / swelling in legs (edema) / limited range of motion in hip or leg / unexplained weight loss / fatigue / sudden increase in pain with activity
Advanced gastric cancer,Unintentional weight loss / persistent vomiting / difficulty swallowing / abdominal pain / early satiety / fatigue / black stools / loss of appetite / nausea
Adrenal gland disease,Hyperpigmentation/Weight loss or gain/Muscle weakness/Low blood pressure/Dizziness/Severe fatigue/Salt cravings/Nausea/Hypoglycemia
Open wound of chest wall,Visible cut/tear in chest skin/bleeding from chest wound/difficulty breathing/sucking sound when inhaling/coughing up blood/rapid heart rate/pale or bluish skin/chest pain
Colon cancer,blood in stool / persistent changes in bowel habits / unexplained weight loss / abdominal cramps / fatigue / narrow stools
Anal fistula,Persistent pain near the anus/swelling or tenderness around the anus/pus or blood discharge from an opening near the anus/fever or chills/pain during bowel movements/recurrent anal abscesses/skin irritation or itching around the anus/foul-smelling drainage
"Abnormal chest CT, lung",lung nodules/masses/infiltrates/ground-glass opacities/pleural effusion/localized pain with deep breathing/coughing up blood (hemoptysis)/crackles or wheezing on auscultation/unexplained weight loss accompanied by fatigue
Hepatocellular carcinoma,Jaundice/abdominal pain in the upper right quadrant/unintended weight loss/ascites/fatigue/loss of appetite/enlarged liver (hepatomegaly)/nausea or vomiting
Gallbladder stone with obstruction,Severe right upper quadrant or epigastric abdominal pain/radiating pain to the back or shoulder/jaundice/nausea or vomiting/fever or chills/clay-colored stools/dark urine/bloating or indigestion
Advanced gastric cancer,"unexplained weight loss/persistent abdominal pain/vomiting blood/difficulty swallowing/black, tarry stools/early satiety/loss of appetite/fatigue/abdominal swelling"
Ovarian cyst,pelvic pain / abdominal bloating / irregular menstrual cycles / sudden sharp pelvic pain / pain during intercourse / nausea or vomiting / frequent urination
Colon cancer,blood in stool / unexplained weight loss / persistent abdominal pain / changes in bowel habits / fatigue / feeling of incomplete bowel evacuation / narrow stools
Gastrointestinal stromal tumor of stomach,"Abdominal pain or discomfort / early satiety (feeling full quickly) / nausea or vomiting / gastrointestinal bleeding (blood in vomit or stool) / anemia (fatigue, weakness) / palpable abdominal mass / unintended weight loss"
End stage renal disease,"Fatigue/Nausea/Edema/Decreased urine output  
Shortness of breath/Confusion/Itching/Muscle cramps/Loss of appetite/Metallic taste in mouth"
Ovarian cyst,pelvic pain / bloating or abdominal swelling / menstrual irregularities / pain during intercourse / sudden sharp abdominal pain / urinary urgency or frequency / nausea or vomiting
Esophageal cancer,difficulty swallowing/unintended weight loss/persistent chest pain or pressure//chronic cough/hoarseness/frequent choking while eating
Unspecified gastric cancer,"persistent abdominal pain / unexplained weight loss / difficulty swallowing / nausea or vomiting / indigestion unresponsive to treatment / loss of appetite / early satiety / blood in vomit or stools / fatigue / dark, tarry stools"
Gallbladder stone without obstruction,upper right abdominal pain after eating / nausea or vomiting / bloating or indigestion / back pain between shoulder blades / discomfort lasting minutes to hours / intolerance of fatty foods / occasional heartburn or gas
Hepatocellular carcinoma,jaundice / upper abdominal pain / unexplained weight loss / abdominal swelling / nausea / loss of appetite / fatigue / easy bruising or bleeding
Takayasu's arteritis,Limb claudication / Blood pressure discrepancy between limbs / Bruits over affected arteries / Fever / Weight loss / Dizziness / Visual disturbances / Fatigue / Night sweats / Joint pain
Papillary thyroid adenoma,neck nodule or lump / difficulty swallowing / hoarseness or voice changes / asymptomatic / rapid heartbeat / localized neck discomfort / unexplained weight loss
Cerebral infarction,Sudden numbness or weakness in the face/arm/leg (especially on one side of the body)/sudden confusion/trouble speaking or understanding speech/sudden vision problems in one or both eyes/sudden severe headache with no known cause/sudden dizziness/loss of balance or coordination/facial droop/sudden difficulty walking
varicose vein with non-specific symptoms,Visible swollen veins / Aching or heavy legs / Itching around veins / Worsened pain after prolonged sitting or standing / Leg swelling / Muscle cramps or throbbing
Early gastric cancer,indigestion/unexplained nausea/epigastric discomfort/early satiety/melena/unintentional weight loss
Antenatal care for other high risk pregnancy,Severe abdominal pain/vaginal bleeding/decreased fetal movements/swelling of hands or face/sudden weight gain/persistent headache/visual disturbances/fever/chills/leakage of amniotic fluid/persistent contractions
"Colon cancer, ascending",blood in stool/unexplained weight loss/iron deficiency anemia//abdominal pain on the right side/fatigue/palpable abdominal mass
Hepatocellular carcinoma,Jaundice/abdominal pain/unintentional weight loss/loss of appetite/nausea/abdominal swelling (ascites)/fatigue/easy bruising or bleeding/enlarged liver (hepatomegaly)/itching (pruritus)/fever/confusion or altered mental status
Postpartum follow up,"Severe pelvic pain or abdominal tenderness / Excessive vaginal bleeding (soaking through a pad in an hour) / Fever above 100.4°F (38°C) / Persistent sadness or mood swings / Shortness of breath or chest pain / Swelling, redness, or pain in the legs / Thoughts of harming oneself or the baby / Difficulty urinating or severe pain during urination"
End stage renal disease,decreased urine output/severe fatigue/persistent nausea/vomiting/itching (pruritus)/shortness of breath/swelling in extremities/confusion/muscle twitching/cramps
Prostate cancer,bone pain / difficulty starting or stopping urination / weak or interrupted urine flow / frequent urination (especially at night) / blood in urine or semen / erectile dysfunction / unexplained weight loss / persistent pain in lower back or pelvis / loss of bladder or bowel control / fatigue
Kidney donor,Pain at surgical site / fatigue / decreased urine output / high blood pressure / swelling in extremities / elevated creatinine levels / increased susceptibility to infections
Liver cirrhosis Unspecified,Jaundice/ascites/palmar erythema/spider angiomas/fatigue/hematemesis/confusion/pruritus/edema
"Mucinous cystic neoplasm of pancreas, borderline",upper abdominal pain / palpable abdominal mass / nausea or vomiting / jaundice / weight loss / back pain / steatorrhea / acute pancreatitis
"Colon cancer, sigmoid",blood in stool / change in bowel habits (constipation/diarrhea) / abdominal pain or cramping in lower left abdomen / pencil-thin stools / unexplained weight loss / fatigue or anemia / feeling of incomplete bowel evacuation / bloating or gas
End stage renal disease,decreased urine output/fluid retention/severe fatigue/nausea/shortness of breath/itching/muscle cramps/confusion/loss of appetite/trouble sleeping
Acute cholecystitis,right upper quadrant abdominal pain / positive Murphy's sign / fever / nausea / vomiting / jaundice / abdominal tenderness after eating fatty foods / bloating / elevated white blood cell count
end stage renal disease,decreased urine output/fatigue/nausea/shortness of breath/swelling in legs/confusion/muscle cramps/loss of appetite/persistent itching/seizures/coma
